,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
38,CTS Eventim,http://www.finanzen.net/aktien/eventim-Aktie,DE0005470306,547030,EVD,Deutschland,EVD.DE,True
39,Deutsche Euroshop,http://www.finanzen.net/aktien/deutsche_euroshop-Aktie,DE0007480204,748020,DEQ,Deutschland,DEQ.DE,True
40,Deutsche Wohnen,http://www.finanzen.net/aktien/deutsche_wohnen-Aktie,DE000A0HN5C6,A0HN5C,,Deutschland,DWNI.F,True
41,Dürr,http://www.finanzen.net/aktien/duerr-Aktie,DE0005565204,556520,DUE,Deutschland,DUE.DE,True
42,Evonik,http://www.finanzen.net/aktien/evonik-Aktie,DE000EVNK013,EVNK01,,Deutschland,EVK.F,True
43,Fielmann,http://www.finanzen.net/aktien/fielmann-Aktie,DE0005772206,577220,FIE,Deutschland,FIE.F,True
44,Fraport,http://www.finanzen.net/aktien/fraport-Aktie,DE0005773303,577330,FRA,Deutschland,FRA.DE,True
45,FUCHS PETROLUB,http://www.finanzen.net/aktien/fuchs_petrolub_vz-Aktie,DE0005790430,579043,FPE3,Deutschland,FPE3.DE,True
46,GEA,http://www.finanzen.net/aktien/gea-Aktie,DE0006602006,660200,G1A,Deutschland,G1A.DE,True
47,Gerresheimer,http://www.finanzen.net/aktien/gerresheimer-Aktie,DE000A0LD6E6,A0LD6E,A0LD6E,Deutschland,GXI.DE,True
48,Grand City Properties,http://www.finanzen.net/aktien/Grand_City_Properties-Aktie,LU0775917882,A1JXCV,,Luxemburg,GYC.F,True
49,Hannover Rück,http://www.finanzen.net/aktien/hannover_rueck-Aktie,DE0008402215,840221,HNR1,Deutschland,HNR1.DE,True
50,HELLA GmbH,http://www.finanzen.net/aktien/HELLA-Aktie,DE000A13SX22,A13SX2,HLE,Deutschland,HLE.DE,True
51,HOCHTIEF,http://www.finanzen.net/aktien/hochtief-Aktie,DE0006070006,607000,HOT,Deutschland,HOT.DE,True
52,HUGO BOSS,http://www.finanzen.net/aktien/hugo_boss-Aktie,DE000A1PHFF7,A1PHFF,,Deutschland,BOSS.DE,True
